FloorNo,FlatNo,Typology,NoOfParkings,Time_To_Podium_1,Time_To_Podium_2,Time_To_Podium_3,Time_To_Podium_4,Time_To_Podium_5,Time_To_Podium_6,Time_To_Podium_7,Time_To_Podium_8,Time_To_Podium_9
58,C-5803,4BHK,3,114,112,110,108,106,104,102,100,98
59,C-5902,3BHK,2,116,114,112,110,108,106,104,102,100
59,C-5904,3BHK,2,116,114,112,110,108,106,104,102,100
59,C-5905,3BHK,2,116,114,112,110,108,106,104,102,100
59,C-5906,3BHK,2,116,114,112,110,108,106,104,102,100
59,C-5907,3BHK,2,116,114,112,110,108,106,104,102,100
59,C-5901,4BHK,3,116,114,112,110,108,106,104,102,100
59,C-5903,4BHK,3,116,114,112,110,108,106,104,102,100
60,C-6002,3BHK,2,118,116,114,112,110,108,106,104,102
60,C-6004,3BHK,2,118,116,114,112,110,108,106,104,102
60,C-6005,3BHK,2,118,116,114,112,110,108,106,104,102
60,C-6006,3BHK,2,118,116,114,112,110,108,106,104,102
60,C-6007,3BHK,2,118,116,114,112,110,108,106,104,102
60,C-6001,4BHK,3,118,116,114,112,110,108,106,104,102
60,C-6003,4BHK,3,118,116,114,112,110,108,106,104,102
61,C-6102,3BHK,2,120,118,116,114,112,110,108,106,104
61,C-6104,3BHK,2,120,118,116,114,112,110,108,106,104
61,C-6105,3BHK,2,120,118,116,114,112,110,108,106,104
61,C-6106,3BHK,2,120,118,116,114,112,110,108,106,104
61,C-6107,3BHK,2,120,118,116,114,112,110,108,106,104
61,C-6101,4BHK,3,120,118,116,114,112,110,108,106,104
61,C-6103,4BHK,3,120,118,116,114,112,110,108,106,104
62,C-6202,3BHK,2,122,120,118,116,114,112,110,108,106
62,C-6204,3BHK,2,122,120,118,116,114,112,110,108,106
62,C-6205,3BHK,2,122,120,118,116,114,112,110,108,106
62,C-6206,3BHK,2,122,120,118,116,114,112,110,108,106
62,C-6207,3BHK,2,122,120,118,116,114,112,110,108,106
62,C-6201,4BHK,3,122,120,118,116,114,112,110,108,106
62,C-6203,4BHK,3,122,120,118,116,114,112,110,108,106
63,C-6304,3BHK,2,124,122,120,118,116,114,112,110,108
63,C-6305,3BHK,2,124,122,120,118,116,114,112,110,108
63,C-6306,3BHK,2,124,122,120,118,116,114,112,110,108
63,C-6307,3BHK,2,124,122,120,118,116,114,112,110,108
63,C-6301,4BHK,3,124,122,120,118,116,114,112,110,108
63,C-6303,4BHK,3,124,122,120,118,116,114,112,110,108
64,C-6402,3BHK,2,126,124,122,120,118,116,114,112,110
64,C-6404,3BHK,2,126,124,122,120,118,116,114,112,110
64,C-6405,3BHK,2,126,124,122,120,118,116,114,112,110
64,C-6406,3BHK,2,126,124,122,120,118,116,114,112,110
64,C-6407,3BHK,2,126,124,122,120,118,116,114,112,110
64,C-6401,4BHK,3,126,124,122,120,118,116,114,112,110
64,C-6403,4BHK,3,126,124,122,120,118,116,114,112,110
65,C-6504,3BHK,2,128,126,124,122,120,118,116,114,112
65,C-6505,3BHK,2,128,126,124,122,120,118,116,114,112
65,C-6506,3BHK,2,128,126,124,122,120,118,116,114,112
65,C-6507,3BHK,2,128,126,124,122,120,118,116,114,112
65,C-6501,4BHK,3,128,126,124,122,120,118,116,114,112
65,C-6503,4BHK,3,128,126,124,122,120,118,116,114,112
